instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,﻿CA,39.142913,-121.588282,,,,﻿eug_oconnell_001,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,39.142913,-121.588282,,,,﻿j_mcnulty_001,﻿Rev.,﻿John McNulty,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,39.142913,-121.588282,,,,﻿ber_sheehan_001,﻿Rev.,﻿Bernardine Sheehan,﻿O.S.F.,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0002,﻿church,not recorded,English,,,,﻿Mendocino County,﻿Mendocino County,﻿Albion,﻿Albion,﻿CA,﻿CA,39.223241,-123.76806,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,39.469231,-120.842993,﻿gra.ca.0021,﻿church attended from Downieville,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0004,﻿church,not recorded,English,,,﻿Anderson Valley,﻿Mendocino County,﻿Mendocino County,,,﻿CA,﻿CA,39.550019,-123.438353,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once in three months,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0005,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Big Flat,﻿Big Flat,﻿CA,﻿CA,40.740805,-123.207441,﻿gra.ca.0076,﻿visited from Weaverville,﻿occassionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0006,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,﻿Birchville,﻿Birchville,﻿CA,﻿CA,39.326897,-121.142769,﻿gra.ca.0035,﻿attended from Grass Valley,﻿every second month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0007,﻿church,﻿St. Mary's,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,39.242114,-121.40913,﻿gra.ca.0001,﻿attended from Marysville,﻿twice a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0008,﻿church,not recorded,English,,﻿Butte House,,﻿Yuba County,﻿Sutter County,,,﻿CA,﻿CA,39.168056,-121.741,﻿gra.ca.0001,﻿visited from Marysville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0009,﻿church,﻿SS. John and Paul's,English,,,,﻿Siskiyou County,﻿Siskiyou County,﻿Callaghan's Ranch,﻿Callahan,﻿CA,﻿CA,41.309588,-122.801418,﻿gra.ca.0079,﻿attended from Yreka,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0010,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Canyon City,,﻿CA,﻿CA,40.830037,-123.053374,﻿gra.ca.0076,﻿visited from Weaverville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0011,﻿church,not recorded,English,,,,﻿Mendocino County,﻿Mendocino County,﻿Caspar,﻿Caspar,﻿CA,﻿CA,39.364922,-123.814475,﻿gra.ca.0048,﻿visited from Mendocino City,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0012,﻿church,not recorded,English,,,,﻿Yuba County,﻿Nevada County,﻿Celestial Valley,﻿North San Juan,﻿CA,﻿CA,39.370097,-121.103865,﻿gra.ca.0021,﻿visited from Downieville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0013,﻿church,﻿St. Patrick's,English,,,,﻿Nevada County,﻿Nevada County,﻿Cherokee,﻿Cherokee,﻿CA,﻿CA,39.134667,-121.171039,﻿gra.ca.0035,﻿attended from Grass Valley,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0014,﻿church,﻿Holy Cross,English,,,,﻿Butte County,﻿Butte County,﻿Cherokee Flat,﻿Cherokee,﻿CA,﻿CA,39.646211,-121.538714,﻿gra.ca.0057,﻿attended from Oroville,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0015,﻿church,not recorded,English,,,,﻿Butte County,﻿Butte County,﻿Chiko,﻿Chico,﻿CA,﻿CA,39.728284,-121.837998,﻿gra.ca.0057,﻿visited from Oroville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0016,﻿church,not recorded,English,,,,﻿Nevada County,﻿Washoe County,﻿Crystal Peak,,﻿CA,﻿NV,39.524901,-120.002175,﻿gra.ca.0100,"﻿church attended from Virginia City, Nevada",﻿twice a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0017,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Colfax,﻿Colfax,﻿CA,﻿CA,39.10073,-120.953276,﻿gra.ca.0027,﻿attended from Forest Hill,﻿once a month,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0018,﻿church,not recorded,English,,,,﻿Colusi County,﻿Colusa County,﻿Colusi,﻿Colusa,﻿CA,﻿CA,39.214334,-122.009417,﻿gra.ca.0057,﻿visited from Oroville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0019,﻿church,not recorded,English,,,,﻿Del Norte County,﻿Del Norte County,﻿Crescent City,﻿Crescent City,﻿CA,﻿CA,41.75575,-124.202591,﻿gra.ca.0023,﻿visited from Eureka,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0020,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Douglas City,﻿Douglas City,﻿CA,﻿CA,40.651802,-122.943819,﻿gra.ca.0076,﻿visited from Weaverville,﻿occasionally,,,,,,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0021,﻿church,﻿Immaculate Conception,English,,,,﻿Sierra County,﻿Sierra County,﻿Downieville,﻿Downieville,﻿CA,﻿CA,39.55952,-120.827697,,,﻿divine service once a month,﻿cha_m_lynch_001,﻿Rev.,﻿Charles M. Lynch,,﻿pastor,,,,,,1867,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
